country,year,coffee_val,land_cov,disaster,temp_chan,corrupt_control,govern_eff,pol_stab,reg_qual,rule_law,voice,energy,rgdpe,rgdpo,pop,emp,avh,hc,ccon,cda,cgdpe,cgdpo,cn,ck,ctfp,cwtfp,rgdpna,rconna,rdana,rnna,rkna,rtfpna,rwtfpna,labsh,irr,delta,xr,pl_con,pl_da,pl_gdpo,i_cig,i_xm,i_xr,i_outlier,i_irr,cor_exp,statcap,csh_c,csh_i,csh_g,csh_x,csh_m,csh_r,pl_c,pl_i,pl_g,pl_x,pl_m,pl_n,pl_k
Costa Rica,2002,156,102.770581503583,2,0.894,0.444571554660797,0.306561231613159,1.06869447231293,0.441433399915695,0.554997205734253,1.11081862449646,586.26,44473.828125,43845.90625,4.100925,1.56531858444214,2362.69609427883,2.47273755073547,36604.5703125,44702.52734375,43837.31640625,42550.5703125,96437.6015625,0.00155346107203513,0.646210730075836,0.646369218826294,48480.4609375,42396.8671875,49801.1796875,91292.0703125,0.452428728342056,0.914547324180603,0.902176141738892,0.575477957725525,0.181595280766487,0.0556801147758961,359.81752688172,0.369944214820862,0.376503646373749,0.387889266014099,Interpolated,Benchmark,Market-based,Regular,Regular,,,0.712341547012329,0.19031372666359,0.147918820381165,0.251100450754166,-0.399711400270462,0.0980368405580521,0.366157591342926,0.40615376830101,0.388179630041122,0.463326275348663,0.405353963375092,0.290570944547653,1.11349034309387
Côte d'Ivoire,2002,1622,94.5952486088842,,,-0.801531195640564,-0.941148579120636,-1.91973388195038,-0.420426428318024,-1.32922720909119,-1.06705832481384,586.26,40873.1484375,36997.4453125,17.231539,5.52572917938232,,1.44724583625794,33550.38671875,34423.4609375,40527.8046875,37770.15234375,43345.0625,0.000706126156728715,0.709199130535126,0.615395128726959,45179.63671875,33164.6875,31861.017578125,99043.28125,0.474048495292664,0.752432465553284,0.524796962738037,0.450992226600647,0.21721088886261,0.0420801863074303,696.988203611667,0.291649609804153,0.304654538631439,0.32689779996872,Interpolated,Benchmark,Market-based,Regular,Regular,,,0.76584804058075,0.0231154952198267,0.122429765760899,0.297394216060638,-0.167225912213326,-0.0415615662932396,0.281942307949066,0.804406046867371,0.352372854948044,0.442628771066666,0.411486148834229,0.551773130893707,2.36990189552307
Dominican Republic,2002,0,101.430431269447,1,0.96,-0.472972482442856,-0.386990189552307,0.118558995425701,-0.256923526525497,-0.705224692821503,0.237251296639442,586.26,79265.9375,78946.9609375,8.724975,3.07802248001099,2137.66149219353,2.19163250923157,62635.0625,85215.1015625,79435.921875,79271.578125,203952.796875,0.00323583907447755,0.675403892993927,0.691261768341065,81945.109375,64069.6953125,88325.3828125,324609.9375,0.488555729389191,0.936104595661163,0.99908846616745,0.546114087104797,0.150794863700867,0.0391501486301422,18.609825,0.328977137804031,0.322961419820786,0.323630958795548,Interpolated,Benchmark,Market-based,Regular,Regular,,,0.659093618392944,0.284844011068344,0.131039038300514,0.146676734089851,-0.152816414833069,-0.068836934864521,0.345420330762863,0.306274324655533,0.246271923184395,0.449745327234268,0.439968526363373,0.28180918097496,0.888384222984314
Ecuador,2002,81,126.557101661993,2,0.777,-0.86826103925705,-0.831196308135986,-0.759720921516418,-0.72901463508606,-0.756515443325043,-0.0449887700378895,586.26,80402.9609375,81936.2109375,13.143465,4.97953319549561,1823.49454687021,2.51534819602966,65068.77734375,86657.8515625,81451.625,83044.3515625,351586.0625,0.00606616167351604,0.413526952266693,0.410848438739777,110287.8515625,80585.6953125,109482.96875,566168.6875,0.503815948963165,0.945882380008698,0.931422352790833,0.473442256450653,0.0955269709229469,0.0372310429811478,1,0.362800091505051,0.350501865148544,0.343779504299164,Interpolated,Benchmark,Market-based,Regular,Regular,,,0.651650130748749,0.259970366954804,0.13189235329628,0.152188912034035,-0.180868342518807,-0.0148334028199315,0.384358644485474,0.313435405492783,0.256284117698669,0.397972762584686,0.428164094686508,0.244745254516602,0.611780405044556
El Salvador,2002,3,92.7415460799552,2,0.69,-0.813145220279694,-0.609856188297272,0.293994128704071,-0.16980642080307,-0.566521048545837,0.122130692005157,586.26,17305.50390625,15927.47265625,5.962136,2.2195999622345,,1.90719056129456,17317.142578125,19292.119140625,16791.392578125,15704.0146484375,25594.3125,,,,37940.91015625,38620.96484375,46035.92578125,97847.3125,,,,,,0.0637566521763802,1,0.715427160263062,0.754207253456116,0.806430160999298,Interpolated,Benchmark,Market-based,Regular,,,,0.889850735664368,0.125762537121773,0.212870001792908,0.491554737091065,-0.720038056373596,0,0.759553909301758,1.09424185752869,0.53096616268158,0.418560177087784,0.452540218830109,0.820912897586823,
Ethiopia,2002,394,103.165558069628,1,1.031,-0.717909097671509,-1.04439079761505,-1.22584557533264,-1.23277902603149,-0.959304392337799,-1.22613191604614,586.26,37085.89453125,40717.5703125,70.142091,29.2170391082764,,1.20741271972656,38383.94921875,43557.60546875,37197.43359375,40099.58984375,103489.9765625,,,,53107.3828125,48459.578125,44302.9921875,86561.859375,,,,,,0.0341061465442181,8.56775,0.181737691164017,0.206762939691544,0.191798731684685,Interpolated,Benchmark,Market-based,Regular,,,,0.80576229095459,0.129020199179649,0.151453211903572,0.0229211915284395,-0.0914228409528732,-0.0177340134978294,0.178156062960625,0.392428010702133,0.200792714953423,0.451361417770386,0.434671729803085,0.267923653125763,
Guatemala,2002,166,153.862641331686,3,0.556,-0.660021722316742,-0.563064634799957,-0.834293127059937,-0.165764808654785,-0.990891993045807,-0.358615815639496,586.26,65324.3984375,69379.6875,12.208848,4.1989541053772,,1.63693964481354,63117.68359375,75505.7421875,65186.36328125,68518.578125,170715.390625,0.00242649344727397,0.72458952665329,0.760227680206299,75985.9453125,69845.546875,87662.59375,253820.90625,0.623892247676849,1.0136433839798,1.05517292022705,0.533602952957153,0.158950924873352,0.0396862551569939,7.821645,0.299929410219193,0.313667267560959,0.298412889242172,Interpolated,Benchmark,Market-based,Regular,Regular,,,0.821062564849854,0.180798560380936,0.100113593041897,0.0747555121779442,-0.206571623682976,0.0298414323478937,0.298991471529007,0.383662283420563,0.307621538639069,0.434878528118134,0.429173797369003,0.260187387466431,0.970233023166657
Guinea,2002,0,95.2032270876842,,1.13,-0.767053604125977,-0.95980703830719,-1.42116582393646,-1.11372554302216,-1.0802047252655,-1.26344680786133,586.26,19141.4921875,20679.775390625,8.586074,3.06789994239807,,,19781.0859375,22046.9375,18874.609375,19999.57421875,21159.955078125,0.000398414122173563,,,15590.0859375,15243.0458984375,15898.7587890625,12991.12109375,0.246836051344872,,,0.258181154727936,0.421386450529099,0.0538456961512566,1975.84375,0.205395847558975,0.216139525175095,0.203981831669807,Interpolated,Benchmark,Market-based,Regular,Regular,,,0.913243710994721,0.113295018672943,0.0758316516876221,0.0716844350099564,-0.150815919041634,-0.0232389308512211,0.203999683260918,0.309932768344879,0.222209841012955,0.456297218799591,0.412775307893753,0.241474986076355,1.8752053976059
Haiti,2002,0,93.3276934407548,2,0.953,-1.5061753988266,-1.35697281360626,-1.25585794448853,-1.09348249435425,-1.7139093875885,-1.18077600002289,586.26,15571.646484375,17793.603515625,8.75415,3.123690366745,,1.52746725082398,15508.94921875,20372.578125,16446.244140625,18774.2265625,102019.7578125,,,,14684.767578125,15285.720703125,18611.3046875,78407.75,,,,,,0.013195239007473,29.2504833333333,0.204799234867096,0.19545978307724,0.171222999691963,Extrapolated,Benchmark,Market-based,Regular,,,,0.810207664966583,0.259058833122253,0.0158689115196466,0.0520287789404392,-0.137164160609245,0,0.192117959260941,0.165678471326828,0.852258145809174,0.399098783731461,0.449402779340744,0.126205191016197,
Honduras,2002,742,114.909564144024,4,0.776,-1.01955211162567,-0.685433745384216,-0.252441436052322,-0.536085247993469,-0.879591941833496,-0.162654772400856,586.26,23075.78515625,24752.41796875,6.929265,2.35109996795654,,1.91759788990021,21073.361328125,26256.85546875,23331.939453125,24876.33984375,62750.484375,0.0010912207653746,0.468102991580963,0.470410883426666,27677.548828125,24314.212890625,31799.27734375,115002.2890625,0.567938625812531,1.00039052963257,1.00386118888855,0.599158346652985,0.0943991392850876,0.0610027052462101,16.4333833333333,0.329261153936386,0.336877942085266,0.315963476896286,Interpolated,Benchmark,Market-based,Regular,Regular,,,0.743363440036774,0.208370476961136,0.103761278092861,0.0936489999294281,-0.266743272542954,0.117599092423916,0.311567693948746,0.367843687534332,0.45602011680603,0.414409428834915,0.433283984661102,0.310128062963486,0.712782561779022
India,2002,4099,102.206342465912,13,0.827,-0.555382490158081,-0.189068421721458,-1.21066498756409,-0.381400048732758,-0.0173958707600832,0.426245898008347,586.26,2491591.5,2510063.5,1093.317189,430.733276367188,2088.89356313695,1.81161344051361,2031531.25,2587243,2558580.25,2579105.25,7245018.5,0.117684029042721,0.326995015144348,0.312312304973602,2960309.5,2301690,2733908.5,9916184,0.292756527662277,0.76134866476059,0.694198906421661,0.558310508728027,0.108471713960171,0.0436151660978794,48.6103191666667,0.187649503350258,0.200413733720779,0.198818817734718,Interpolated,Benchmark,Market-based,Regular,Regular,,,0.655118703842163,0.215466916561127,0.132569670677185,0.0438185222446919,-0.0501157529652119,0.00314191495999694,0.191285625100136,0.247076243162155,0.169680953025818,0.443295419216156,0.44450119137764,0.182784914970398,0.475115925073624
Indonesia,2002,5582,99.1374441546262,9,0.607,-1.13730299472809,-0.550523042678833,-1.58324420452118,-0.742287337779999,-0.910264730453491,-0.271903306245804,586.26,883475.6875,829739.1875,217.357793,93.1680603027344,1993.86928999313,2.23004794120789,708035.4375,864246.125,898209.6875,851119.375,2082478.5,0.0345253385603428,0.424264967441559,0.410169899463654,1268168.625,909866,1295573.625,6525894,0.422989159822464,0.833360135555267,0.849445164203644,0.44915896654129,0.174008831381798,0.0442171841859818,9311.19166666667,0.219027414917946,0.23193359375,0.244765907526016,Interpolated,Benchmark,Market-based,Regular,Regular,,,0.706737160682678,0.18353559076786,0.12515015900135,0.158252581954002,-0.0873074978590012,-0.0863679870963097,0.23296432197094,0.29043173789978,0.140324100852013,0.424366861581802,0.421063393354416,0.210411831736565,0.820546567440033
Jamaica,2002,9,89.0205057323644,3,0.943,-0.511592388153076,-0.0776224359869957,-0.208229526877403,0.235489204525948,-0.344297826290131,0.597427487373352,586.26,17251.08984375,15710.0166015625,2.692845,1.03680002689362,1965.56637367778,2.56613254547119,15985.037109375,19649.60546875,16892.294921875,15328.76171875,51841.44921875,0.000842070556245744,0.418182671070099,0.510378897190094,21916.818359375,22695.384765625,28011.216796875,120765.3671875,0.881112635135651,1.04164981842041,1.08909058570862,0.565279245376587,0.049148865044117,0.035475704818964,48.4159416666667,0.541034758090973,0.575351119041443,0.634036958217621,Interpolated,Benchmark,Market-based,Regular,Regular,,,0.783838510513306,0.239064872264862,0.258974850177765,0.433237612247467,-0.7151158452034,-1.87158057449816E-16,0.600655376911163,0.725040972232819,0.360581308603287,0.479466050863266,0.435196399688721,0.916608572006226,1.23867392539978
