Регион,Год,ПотрЭлектр/душ,ВРП,ИнвесВОК,СрДушДох,ИзносОФ,УрИнАк,УбыточОрг,ИндПроиз
Калининградская область,2013,4.58483904465213,281871.487968442,73196.3629191322,20513.617357002,34.7,5.1,44,99.1
Калужская область,2013,5.77870646766169,299194.552268245,99706.315581854,22725.5897435897,35.8,10.9,31,105.9
Камчатский край,2013,5.3453125,136257.499013807,104363.207100592,36316.1932938856,30.7,14.3,39.6,97.1
Карачаево-Черкесская Республика,2013,2.8963829787234,67540.8654832347,46770.1893491124,14529.5424063116,37.6,2.7,21.7,89.8
Кемеровская область,2013,13.2039136795903,682442.522682446,81232.0039447732,19747.3451676529,43.8,4.6,36.8,98.9
Кировская область,2013,5.6440122044241,229015.564891519,45572.7613412229,17740.7337278107,51.9,9.1,30.6,100.2
Костромская область,2013,5.2640243902439,142032.024063116,34587.483234714,17336.1420118343,48.4,7,37,104.6
Краснодарский край,2013,4.02712805329386,1699049.2974359,181831.282051282,25675.2268244576,30.7,5.6,30.2,102.5
Красноярский край,2013,18.6214861549246,1284204.85956608,135132.611439842,24784.3076923077,37.8,11.2,28.9,109.3
Курганская область,2013,4.73010262257697,170661.996449704,38490.3629191322,17446.4852071006,58.6,8.3,39.7,100.8
Курская область,2013,7.11671134941912,277433.954635109,65319.0848126233,19857.6883629191,47.9,10.7,27.4,100.8
Ленинградская область,2013,11.440306122449,693443.943589744,147434.856015779,20304.1696252465,32.4,10.5,33.6,95.6
Липецкая область,2013,10.2652586206897,322534.590138067,88960.1143984221,22433.3846153846,49.2,17.5,25.7,100.3
Магаданская область,2013,14.7033333333333,90834.824852071,255729.550295858,43144.1893491124,37.9,24.6,47.4,103
Московская область,2013,5.87980095318195,2601189.10650888,84672.0552268245,33684.3037475345,40.5,8.4,30.5,105.2
Мурманская область,2013,15.9844357976654,313230.30887574,92958.0118343195,32599.2623274162,39.5,13.5,42.2,99.8
Нижегородская область ,2013,7.28085949405669,945254.982248521,87342.7692307692,24892.607495069,49.7,15.4,28.2,104.5
Новгородская область,2013,7.11974317817015,182697.782642998,86862.5719921105,21055.1163708087,43.8,6.6,37.8,105.4
Новосибирская область ,2013,5.69245697546686,835253.748717949,69105.4911242604,23106.6824457594,41.3,9.9,31.5,101.4
Омская область,2013,5.13014184397163,563704.560157791,54677.0966469428,21068.3984220907,41.1,8.3,27.1,103.2
Оренбургская область,2013,7.71966152314584,732571.334122288,77618.2642998028,18788.9940828402,55.9,12.5,30.7,96.9
Орловская область,2013,3.67311688311688,168372.477317554,57820.8560157791,17626.3037475345,48,8.4,26.9,100.4
Пензенская область,2013,3.45003673769287,276304.265088757,61516.3313609467,17168.58382643,51.3,15.6,37.5,104.7
Пермский край,2013,9.71544006069803,899362.838658777,85097.0808678501,25494.3865877712,60.2,11.4,27.6,103.9
Приморский край,2013,6.51754385964912,590002.919526627,64713.2189349112,24274.4812623274,27.1,9.4,29.3,104.4
Псковская область,2013,3.03866057838661,117164.243786982,44885.1597633136,18251.5818540434,40.4,7.3,38.5,100.6
Республика Адыгея,2013,2.91591928251121,72399.7463510848,42717.1203155819,19142.5009861933,42.3,10.4,21.8,102.7
Республика Алтай,2013,2.60331753554502,34036.2781065089,57393.7869822485,14987.2623274162,22.4,19.4,28.8,96.5
Республика Башкортостан,2013,6.37004914004914,1188456.49309665,66950.7337278107,24383.8027613412,52.2,12.3,22,102.3
Республика Бурятия,2013,5.62104722792608,180726.726232742,44094.3668639053,19311.0808678501,29.8,6.7,26.5,114.9
Республика Дагестан,2013,1.67887989203779,462708.046548324,61912.7495069034,22024.7061143984,42.1,10.3,30.7,154
Республика Ингушетия ,2013,1.38123620309051,46759.665877712,43719.4043392505,13559.9526627219,50.5,7.06391133366115,25.9,116.1
Республика Калмыкия,2013,1.67695035460993,42059.0457593688,55157.2938856016,11926.2603550296,49.1,4.8,39,108.3
Республика Карелия,2013,12.0583596214511,182511.936094675,54975.4319526627,22545.7712031558,43.4,8.1,45.3,94.5
Республика Коми,2013,10.2493119266055,492794.651282051,232188.646942801,29347.2031558185,46.2,8.8,34.7,102.4
Республика Марий Эл,2013,4.53125,128682.847337278,68424.0197238659,14860.5719921105,58.7,8.8,32,100.3
Республика Мордовия,2013,4.07647783251232,151932.056410256,67306.2840236687,14333.3767258383,56.4,16.9,27.2,99.4
Республика Саха (Якутия),2013,7.52104712041885,582657.740828403,207450.315581854,31258.7968441815,35,7.9,37.3,106.2
Республика Северная Осетия – Алания,2013,3.24389204545455,121211.489151874,41746.5088757396,17513.9171597633,47.3,5.3,41.2,107.9
Республика Татарстан,2013,7.04541427826993,1585133.23037475,140240.071005917,27591.9289940828,43.4,21,27.6,101.7
Республика Тыва,2013,2.3375,42194.7270216963,45777.100591716,13853.1794871795,38.3,3.3,32.3,103.8
Республика Хакасия,2013,30.3741573033708,144928.124260355,61498.9625246548,17010.2209072978,31.3,9.1,39.9,110.5
Ростовская область,2013,4.08320772491757,937599.514398422,60969.7238658777,20961.1203155819,42.2,7.7,27.9,106.2
Рязанская область,2013,5.56625766871166,285345.970414201,67530.0355029586,19342.7534516765,51,11.4,27.3,105.7
Самарская область,2013,8.41388975397073,1071295.31439842,85793.8777120316,26912.5009861933,53.5,5.4,25.4,101
Саратовская область,2013,5.42454945935122,537595.01025641,51427.0808678501,16645.4753451677,53.5,6.4,31.7,102.3
Сахалинская область,2013,8.05071283095723,686317.918737673,364599.459566075,38610.9230769231,31.9,3.4,37.1,99.5
Свердловская область ,2013,11.2253876417496,1602689.13925049,83500.1696252466,31119.8461538462,57.8,11.5,29.3,102.7
Смоленская область,2013,6.3073347107438,230788.003550296,58818.0315581854,18870.7297830375,47,6.6,35.4,104.7
Ставропольский край,2013,3.63453829634932,491339.142800789,47791.8856015779,19207.8895463511,50,8.1,26.6,103.7
Тамбовская область,2013,3.21674462114125,241463.503353057,93587.3767258383,20112.090729783,53.7,8.8,24,106.2
Тверская область,2013,6.48301886792453,305149.202366864,61883.1203155819,19686.0433925049,41,9.2,41.3,102.1
Томская область,2013,8.58560747663552,411296.188954635,98353.5897435897,23370.2800788955,50.6,14.6,27.9,100.7
Тульская область,2013,6.45367936925099,355585.850887574,60918.6390532544,20101.8737672584,45.3,12.9,34.7,110.5
Тюменская область,2013,27.2062887760857,5057608.3495069,453654.591715976,36951.6883629191,60.5,8.1,30.9,100.8
Удмуртская Республика,2013,5.97066578773896,413916.124654832,55670.1854043392,18162.6942800789,62.3,10.3,29.2,101.8
Ульяновская область,2013,4.70410094637224,271044.47061144,61763.5818540434,18244.4299802761,46.9,7.1,34.2,99.4
Хабаровский край ,2013,6.38440298507463,508873.391715976,114343.136094675,29846.8126232742,28.3,11.6,33.4,102.2
Челябинская область,2013,10.2883667621777,901483.062721893,62972.2485207101,22447.6883629191,47.5,9.8,31.8,99.9
Чеченская Республика ,2013,1.76456166419019,125058.482051282,34134.8717948718,18572.3944773176,50.5,0.993112830012349,43.1,101.6
Чувашская Республика,2013,3.95741935483871,227989.373175542,49468.4891518738,15108.8441814596,53.5,18.8,29.9,100.5
Чукотский автономный округ,2013,10.7725490196078,45431.6650887574,258190.816568047,56831.8540433925,43,25,43,116.6
Ярославская область,2013,6.62877358490566,370734.54122288,69372.1538461538,21112.3313609467,48,11,40.1,98.5
Алтайский край,2014,4.61148846960168,435729.40246071,40783.463493489,17868.8368208352,42,11.4,32,98.9
Амурская область,2014,8.66382716049383,226697.129232151,92049.2745397396,24799.1046250561,34.9,6.1,38.4,98.3
Архангельская область,2014,8.40710059171598,530169.687777279,129745.672025146,27462.1875168388,44.1,5,37.1,89.6
Астраханская область,2014,4.37140058765916,289480.138787607,112040.957700943,21471.716389762,50.8,12.4,38.2,102.9
Белгородская область,2014,9.64599483204134,605375.304948361,76242.7150426583,24178.7606645712,45.4,11.5,26.5,102.5
Брянская область,2014,3.25247364152474,237120.27545577,52143.0848675348,20118.6827121688,46.2,8.2,37.1,102.1
Владимирская область,2014,5.174679943101,320492.354521778,51240.4111360575,19078.2633138752,43.8,12.6,33,109.2
Волгоградская область,2014,6.7406335549472,698897.676587337,69669.0229007634,18940.5176470588,52.5,6.3,37.4,102.4
Вологодская область,2014,12.0337531486146,378274.707911989,65334.4305343511,21289.0324202964,45.9,5.6,34.7,103.7
Воронежская область,2014,4.62921492921493,701103.170327795,100738.974584643,24396.613740458,44.4,10.3,25.4,108
г. Москва,2014,4.51861933262278,12484569.4265469,123945.700224517,54192.6622361922,35.8,18.8,35.4,98.9
г. Санкт-Петербург,2014,4.91147919876734,2599788.26942075,99044.9959586888,32404.4238886394,37.5,18.9,29.8,93.6
г. Севастополь,2014,3.5250626566416,29452.7589402784,8555.86205657836,29305.36,33.4,4.8,52.3,140.85
Еврейская автономная область,2014,7.59704142011834,40979.9220296363,59340.0517287831,21333.9707229457,30,6.3,41.8,113.3
Забайкальский край,2014,7.2426862925483,229420.585756623,62357.7564436462,19237.5012123934,35.1,5.3,41.1,104.6
Ивановская область,2014,3.30858244937319,148371.426169735,31068.9747642568,19374.2699595869,41.5,6.3,37.3,97.3
Иркутская область,2014,23.2960248447205,895168.546475079,86680.1242927706,19164.2322406825,43.5,6.4,28.6,104.4
Кабардино-Балкарская Республика,2014,1.74169570267131,114188.227031881,25171.3110013471,16027.3433318366,35.5,6.7,39.2,110.3
Калининградская область,2014,4.67585139318885,306839.023565335,64433.7106421194,22097.9218679838,37.9,2.4,42.3,109.9
Калужская область,2014,6.83006923837784,318924.691603054,96756.0732824428,23756.7313875168,37,9.7,34.8,103.9
Камчатский край,2014,5.40757097791798,142397.074216435,77058.4429277054,38118.4267624607,33.5,12.3,41.3,104.4
Карачаево-Черкесская Республика,2014,2.80170575692964,63818.8374315222,46165.3136955546,15931.6052088011,38.5,3.6,28.9,79.2
Кемеровская область,2014,13.171376146789,734667.002424787,82659.1231252807,19392.8314324203,43.4,7,39.7,105.7
Кировская область,2014,5.72967791411043,248224.920808262,45906.4299955097,19193.5398293669,51,9.4,29.8,103.9
Костромская область,2014,5.53103975535168,143344.881634486,41009.1319263583,18670.887831163,49.9,6,35.9,100
Краснодарский край,2014,3.96285295196186,1743638.86960036,135006.384193983,27445.579883251,31.7,6.2,29,105.3
Красноярский край,2014,18.601259181532,1378159.95259991,124503.521329142,23829.0234396049,39.3,9.3,30.8,102.3
Курганская область,2014,5.08988505747126,166379.474036821,36642.3012123934,17892.2828917827,52.8,5.5,42,97.7
Курская область,2014,7.56606982990152,291402.716605299,64386.8185002245,21355.4629546475,49.9,9.9,31.1,105.8
Ленинградская область,2014,11.4400900900901,687092.57986529,94119.367220476,21079.9716210148,35.7,8.7,35.9,100.2
Липецкая область,2014,10.5793609671848,389267.789043556,89010.0775931747,23856.3771890436,50.6,18.6,28.2,102.9
Магаданская область,2014,14.2810810810811,94699.4620925011,266648.257207005,43957.4753480018,40.4,15.1,46.2,109
Московская область,2014,5.86693403402019,2679579.25422542,87707.8437359677,33790.6728334082,41.3,8.7,30.8,104.1
Мурманская область,2014,15.994908616188,320714.70142793,109102.383475528,33003.2756174225,38.9,10.2,46.1,99.8
Нижегородская область ,2014,6.86247706422018,986161.380134711,82552.6388863943,26424.6988774136,48.7,14.3,31.2,100.6
Новгородская область,2014,6.59273021001616,204473.575500674,96609.5353390211,22433.9822182308,45.2,7.7,37.7,112.9
Новосибирская область ,2014,5.80232981434292,890187.721778177,68898.2333183655,22839.4038616974,42.7,9.7,32.4,100.3
Омская область,2014,5.43670374115268,588696.746995959,47145.164077234,22834.5192635833,42.6,8.2,26.6,103.5
Оренбургская область,2014,7.75337331334333,714399.534854064,75031.3347103727,20222.2361921868,58.1,12.4,34.4,101.2
Орловская область,2014,3.51111111111111,174695.209250112,60554.3628199371,18568.3112707679,48.5,8.4,29.2,104.9
Пензенская область,2014,3.51659292035398,288424.479443197,59042.0912438258,18288.9122586439,49.7,17.1,42.1,108.3
Пермский край,2014,9.993401592719,951708.160413112,76919.7203412663,26616.1751234845,60.3,11.1,30.2,103.9
Приморский край,2014,6.52721158820486,627595.634845083,67772.8219128873,26844.7743152223,29.8,9.3,34,107.1
Псковская область,2014,2.94884792626728,120967.65844634,44536.7886843287,19242.3858105074,43,9.2,40.3,94.4
Республика Адыгея,2014,2.9924276169265,73877.1041760216,37425.7907498877,21568.4314324203,47.4,8.5,18.8,118.5
Республика Алтай,2014,2.5803738317757,38287.3361652447,63819.2281993714,16566.6029636282,27.2,10.7,29.1,105.6
Республика Башкортостан,2014,6.49417976424362,1230928.88470588,68045.3824876516,25150.7956892681,53.3,10.4,23.3,103.9
Республика Бурятия,2014,5.48026584867076,182188.573524921,36767.3469241132,20232.0053884149,33.5,8.5,31.2,102.9
Республика Дагестан,2014,1.74866220735786,515941.83039066,66365.0807364167,22760.2733722497,43.6,12.2,35.8,100.7
Республика Ингушетия ,2014,1.4125,50710.1391647957,34518.4779524023,14342.1569824877,48.5,20,34,102.8
Республика Калмыкия,2014,1.77010676156584,45603.1941445891,78520.8916030534,12692.1397395599,49.3,2.4,43.8,103.2
Республика Карелия,2014,12.1481832543444,186779.314216435,51508.0871127077,22474.0359227661,44,7.7,48.8,101.7
Республика Коми,2014,10.5328703703704,472991.754557701,226195.969465649,28878.7209699147,45.1,8.9,36,100.5
Республика Крым,2014,3.07172995780591,185066.871809609,13710.089986529,22347.1178253127,63.4,11.5,51.4,110.9
Республика Марий Эл,2014,3.7627365356623,140086.463924562,67054.7859901212,16090.8431073193,60.2,7.1,24.9,113.4
Республика Мордовия,2014,4.23312731767614,169859.652501123,57232.8361023799,15418.7224068253,56.9,18.3,29.6,110.8
Республика Саха (Якутия),2014,7.70971786833856,642950.271324652,185165.345307589,32291.1012123934,36.6,8.5,37.5,104.9
Республика Северная Осетия – Алания,2014,2.88895184135977,123053.284149079,42980.5557251908,18812.5411764706,47.6,6.6,40,97.7
Республика Татарстан,2014,7.07099870298314,1623067.74282892,137849.220296363,28855.2748989672,44.2,20.5,26.9,101.3
Республика Тыва,2014,2.28216560509554,44887.4051369555,55580.8650202066,13566.4828019758,34.2,1.8,36.5,108.5
Республика Хакасия,2014,30.6067164179104,154717.496039515,72292.0520880108,17246.5390211046,30.4,8.1,38.3,95.2
Ростовская область,2014,4.22970297029703,984499.346780422,60812.2696003592,22427.1437808711,43,9.6,29.2,105.4
Рязанская область,2014,5.74643171806167,288788.870462506,51979.9392905254,20847.4647507858,52.8,13.1,25,102
Самарская область,2014,8.34914410208528,1122625.03533004,97863.9001347104,25747.6935788056,53.4,5.8,26.7,99.4
Саратовская область,2014,5.585559566787,553567.6942793,53811.6635832959,17375.4924113157,53.8,6.8,32.2,107.6
Сахалинская область,2014,8.06618852459016,780720.361131567,409930.12752582,40978.8474180512,37.8,4.1,36,106.1
Свердловская область ,2014,10.5438872197828,1621475.4615357,83961.3569824877,30810.091064212,58.5,11,31.1,102.1
Смоленская область,2014,6.31637305699482,229292.902361922,57206.459272564,20009.267714414,49.1,6.6,38.4,101.7
Ставропольский край,2014,3.47002500893176,528315.005873372,49967.4848675348,20062.9982936686,49.5,8.3,26,102.4
Тамбовская область,2014,3.22005649717514,279063.440233498,101385.695374944,21240.1864391558,56.7,9.1,22.3,108.5
Тверская область,2014,6.1574144486692,309305.64792097,62188.7493488999,20398.0817242928,44.2,8,40.6,96.7
Томская область,2014,8.60325884543762,420336.079964077,99630.1708127526,23771.385181859,53.1,13.7,29.8,100.5
Тульская область,2014,6.61017173051519,401633.442245173,61307.5678491244,21429.7088459811,45.2,13.4,35.6,104.5
Тюменская область,2014,26.7253001954761,5173129.85927257,475941.563358779,36910.9541086664,61.7,8.4,32.6,99.8
Удмуртская Республика,2014,6.2802371541502,440150.061445891,58960.0299955097,19698.6072743601,62,10.5,30.9,99.2
Ульяновская область,2014,4.56965134706815,272373.201580602,59599.9123484508,20090.3520431073,48,5.1,39.3,102.9
Хабаровский край ,2014,6.57997010463378,526890.266295465,93884.9065110014,30476.9614728334,30.9,10.5,41.2,102.5
Челябинская область,2014,10.4370497427101,970960.999263583,63715.6747193534,22537.5356982488,48,8.5,32.1,104
Чеченская Республика ,2014,1.85116788321168,145504.460152672,41316.8616075438,19296.116389762,49.4,0.5,40.4,102.6
Чувашская Республика,2014,4.09798061389338,231966.829061518,42149.1971261787,16002.9203412663,56,23.7,29.6,104.7
Чукотский автономный округ,2014,13.3882352941176,56418.3782128424,162077.803861697,58578.0544229906,46.3,29.2,43.9,138.5
Ярославская область,2014,5.95801886792453,382427.690920521,68017.05181859,22320.6595419847,49.7,10.3,38.4,104.6
Алтайский край,2015,4.48376104333193,470056.868071916,31781.3713577185,20096.9869807812,45.5,12,30.5,100.1
Амурская область,2015,9.53759305210918,267234.433725977,121908.554246745,27207.0427774334,35.9,5.4,36.4,92.5
Архангельская область,2015,8.28986371379898,604738.281091135,140766.580285183,30140.6633601984,46.1,5.8,33.5,105.7
Астраханская область,2015,4.41030421982336,310513.863608184,106896.509609423,22960.2777433354,49.6,12.1,45.4,109.6
Белгородская область,2015,9.55877419354839,668017.103285803,91559.7916924985,27017.2486050837,46.9,12.7,27.1,105.5
Брянская область,2015,3.15513866231648,261841.292622443,48788.6633601984,22571.0551766894,46.3,7.7,39.7,113.5
Владимирская область,2015,5.37258410880458,355010.673775574,49163.4345939244,21881.2448853069,45.6,11.2,34.5,99.8
Волгоградская область,2015,5.5634328358209,713373.671419715,75585.288282703,21294.5207687539,52.4,6.3,37.4,101.1
Вологодская область,2015,12.4912457912458,461376.145071296,70565.8586484811,24076.884066956,48.7,5.5,34.1,102.6
Воронежская область,2015,4.58551221603086,776489.000867948,109324.333539988,28291.8561686299,44.5,11,24.9,103.7
г. Москва,2015,4.41789943227899,13026299.4089275,121262.097954123,58320.7625542467,35.5,19.7,34.3,97.2
г. Санкт-Петербург,2015,4.93302717183314,3263513.39479231,89416.1773093615,36058.9659020459,38.3,17.2,29.3,93
г. Севастополь,2015,3.01442307692308,46883.3032858029,15499.5362678239,17123.8660880347,54.3,9.11,52.1,372.9
Еврейская автономная область,2015,7.63855421686747,42925.0831990081,69198.7625542467,22889.9479231246,30.1,5.3,47.6,91.3
Забайкальский край,2015,7.15927977839335,238607.113949163,67719.9094854309,21208.7761934284,34.9,6.1,47.1,99.4
Ивановская область,2015,3.31932038834951,173914.566026038,23971.8710477371,21481.4246745195,44.2,4.4,40.3,92.1
Иркутская область,2015,21.8527144633237,965076.968629882,82249.2796032238,20957.32300062,46,7.9,29.4,105.8
Кабардино-Балкарская Республика,2015,1.82482598607889,116120.121016739,31680.2120272784,18281.899566026,38.3,2.5,41.7,104.2
Калининградская область,2015,4.53647540983607,337023.003347799,68357.6949783013,24576.9001859888,40.3,4.1,39.7,92.2
Калужская область,2015,6.81683168316832,327333.095598264,88419.9987600744,26430.5244885307,36.8,10.9,34.8,94.6
Камчатский край,2015,5.48924050632911,168988.877371358,69511.874767514,41251.8115313081,36.3,11.8,36.4,103.4
Карачаево-Черкесская Республика,2015,2.88141025641026,65014.3309361438,40409.780533168,17158.5492870428,38.2,3.1,25.7,102
Кемеровская область,2015,12.5718910963944,812497.676131432,60351.6565406076,21078.7141971482,46.8,3.9,36.6,101.8
Кировская область,2015,5.64225134926754,271869.072535648,41294.2021078735,20776.1996280223,52.5,9.8,29.9,103.3
Костромская область,2015,5.4973886328725,154706.1433354,40349.0849349039,21136.5195288283,48.8,8.2,35.6,91.5
Краснодарский край,2015,4.07767500906783,1862788.47079975,103114.114073156,30158.9683818971,33.1,6.5,28.9,102.4
Красноярский край,2015,18.5277739009072,1606064.39516429,133564.999380037,26063.4606323621,40.6,8.8,31.7,99
Курганская область,2015,4.90614849187935,172872.913949163,30979.8040917545,19567.1047737136,54.9,4.2,38.2,101.8
Курская область,2015,8.09651785714286,324672.701549907,63508.7910725357,24403.4841909485,51.7,7.3,29.7,104.3
Ленинградская область,2015,11.4398538504778,818539.489398636,122469.265964042,24606.7662740236,40,10.1,33.8,99.6
Липецкая область,2015,10.8173010380623,432571.073899566,96705.429634222,26096.2169869808,52.6,20,25.5,100.8
Магаданская область,2015,14.3850340136054,121196.874271544,397038.810911345,48893.6763794172,40.4,14.3,40.9,107.5
Московская область,2015,5.81640934553901,3064573.35920645,82626.9411035338,37056.1078735276,42.2,8,30.2,101.1
Мурманская область,2015,16.0992125984252,386893.68617483,126592.712957223,35402.8753874768,41.8,9.4,44.7,106.8
Нижегородская область ,2015,6.7888036809816,1064237.77606944,69357.727216367,28905.5561066336,49.7,13.5,31.6,102.5
Новгородская область,2015,6.79642857142857,225513.724612523,108230.849349039,24693.4742715437,48.4,8.9,36.4,102.7
Новосибирская область ,2015,5.72342505430847,984273.444885307,57514.3781773094,24606.7662740236,47.4,9.4,34.6,101
Омская область,2015,5.43316481294237,595517.945319281,45883.9454432734,24358.2033477991,45.4,6.4,26.5,100.4
Оренбургская область,2015,7.77684210526316,746615.68716677,81610.5306881587,22103.7954122753,58,10.8,33.1,92.5
Орловская область,2015,3.59342105263158,200621.014631122,60625.2684438934,21295.4841909485,48.9,9.6,25.7,100.2
Пензенская область,2015,3.50837657524092,330770.393304402,63443.2783632982,20668.2963422195,51.2,14.7,39.8,104.8
Пермский край,2015,9.98477600607441,1024869.55127092,82686.6732796032,30449.9218846869,60.4,10.5,30.1,99.5
Приморский край,2015,6.65526179367548,691361.304773714,69448.2889026658,29935.454432734,33.6,6.1,33.1,87.6
Псковская область,2015,3.00139318885449,130292.735895846,40636.1847489151,20736.6993180409,45.9,7,37.1,102.8
Республика Адыгея,2015,3.09689578713969,81222.2715437074,33708.2157470552,22185.6862988221,51.1,7.9,21,103.1
Республика Алтай,2015,2.4846511627907,40623.371233726,54745.5027898326,17218.2814631122,37.8,10.9,32.9,125.2
Республика Башкортостан,2015,6.51102923114714,1268440.02368258,75191.2486050837,26320.6943583385,53,9.1,28.2,101.3
Республика Бурятия,2015,5.84989816700611,195404.565158091,35593.6329820211,22985.3267203968,35.2,4.8,30.8,101.6
Республика Дагестан,2015,2.00975124378109,548473.654184749,63384.5096094234,25785.0316181029,44.8,7.3,30.5,105.2
Республика Ингушетия ,2015,1.28816067653277,48258.7811531308,40646.7823930564,14635.3465592064,50.5,5.6,41.8,100.4
Республика Калмыкия,2015,1.75985663082437,50057.9721016739,57208.0099194048,14717.2374457533,44.3,2.4,51.4,99.7
Республика Карелия,2015,12.3111111111111,204293.19466832,49967.8921264724,24913.1345319281,47.2,7.2,45.3,99.7
Республика Коми,2015,10.5686114352392,509075.563298202,190233.492870428,30079.0043397396,46,5.2,38.4,101.6
Республика Крым,2015,2.89155742003146,256241.97916925,24107.7135771854,15091.0452572846,71.7,5.1,43.9,123
Республика Марий Эл,2015,3.70510204081633,165409.474891507,56588.5294482331,17871.4817110973,61.2,8.3,30.6,108.5
Республика Мордовия,2015,3.9639405204461,173755.408679479,62884.4934903906,16944.6695598264,56.4,16.6,27.6,98.1
Республика Саха (Якутия),2015,7.97833333333333,720256.070551767,199092.159950403,35659.1456912585,41,7,33.2,103.8
Республика Северная Осетия – Алания,2015,3.00184659090909,121440.523744575,34812.2975821451,21006.457532548,51.3,3.8,37.4,91.7
Республика Татарстан,2015,7.11377616955286,1798958.47476751,153954.866707998,31218.7327960322,44.4,20.5,25,101.5
Республика Тыва,2015,2.42215189873418,45559.850216987,39625.554866708,15002.4104153751,39,4.9,37.1,105.1
Республика Хакасия,2015,30.7508379888268,164179.762802232,53785.934283943,18416.7786732796,32.9,3,35.8,98
Ростовская область,2015,4.28463172804533,1145647.72225666,70326.9299442034,24880.3781773094,40.5,9.9,28.7,153.2
Рязанская область,2015,5.6816814159292,311312.347923125,46089.1543707378,22823.4717916925,53,12.7,24.6,97.2
Самарская область,2015,7.80505302557704,1218642.65728456,90923.9330440174,26892.9671419715,53.7,5,31.3,99.4
Саратовская область,2015,5.57508038585209,602309.301053937,54211.7668939864,19375.3837569746,54.2,6.3,33.2,104.2
Сахалинская область,2015,8.65379876796714,806861.463608183,476858.339739616,46120.9473031618,41.1,2.6,33.1,112.6
Свердловская область ,2015,10.4631870669746,1756159.69621823,77889.7941723497,32865.2213267204,58.5,8.5,30.3,96.9
Смоленская область,2015,6.47643378519291,247317.028642281,55140.5058896466,22787.8251704898,50.6,7.3,34.8,101.4
Ставропольский край,2015,3.55331905781585,598476.229510229,43432.0359578425,20466.9411035338,49.5,6.8,22.6,105.7
Тамбовская область,2015,3.27171428571429,305610.719032858,107291.512709237,23955.4928704278,58.1,9.6,25.4,104.5
Тверская область,2015,6.44858237547893,317559.370117793,54030.6435213887,22806.1301921885,46.8,7.9,39.3,97.7
Томская область,2015,8.30705663881152,454211.848605084,94005.9206447613,25845.727216367,55.3,12.8,27.8,108
Тульская область,2015,6.52051792828685,460070.515313081,67394.272783633,24528.7290762554,43.2,12.9,34.2,111.9
Тюменская область,2015,26.9196957123098,5637520.65790453,471982.460012399,40360.6460012399,62.9,8,32.6,100
Удмуртская Республика,2015,6.31621621621622,499052.504153751,51968.9200247985,23367.8053316801,62.3,10.2,29.1,102.6
Ульяновская область,2015,4.46748807631161,293341.922752635,60753.4035957843,21880.2814631122,46.1,5.2,41.6,102.4
Хабаровский край ,2015,7.16784107946027,573999.525232486,82187.620582765,34162.9510229386,34.6,9.7,40.4,102
Челябинская область,2015,10.2805769780063,1165011.25592064,59815.0303781773,23752.2107873528,48.5,9.2,32.7,98
Чеченская Республика ,2015,1.86119081779053,148753.735647861,41014.8096714197,21878.3546187229,49.7,1.6,39.6,101
Чувашская Республика,2015,4.04874696847211,242114.741475512,43388.6819590825,17477.442033478,55.4,24,29.2,95
Чукотский автономный округ,2015,13.692,59477.3508989461,280003.246125233,60992.332300062,45.3,17.8,47.6,101.9
Ярославская область,2015,6.20408805031447,426848.153378797,57147.3143211407,25639.554866708,51.6,8.7,36.6,105.6
Алтайский край,2016,4.53051563820795,549526.854255622,32770.2459436379,21939.7255906633,48.3,12.4,30.9,100.1
Амурская область,2016,9.97805486284289,307101.453458582,166714.458867065,28875.8827213208,37.8,6.1,34.1,96
Архангельская область,2016,8.56355060034305,735979.840990606,149482.443495588,32403.8269285511,46.6,4.9,31.5,105.8
Астраханская область,2016,4.35927379784102,380338.189695417,119553.751209792,23575.7090805579,52.5,9.1,41.5,111
Белгородская область,2016,9.82537025112685,803054.028693424,95660.1349274125,30757.5217762596,48.2,14.1,27.3,102.3
Брянская область,2016,3.17927927927928,326669.673896954,57547.3965271847,24778.1827497865,43.7,6.8,35.9,101.8
Владимирская область,2016,5.13539568345324,445431.134301167,52384.5009962995,23084.3979504697,47.7,10.4,30.3,101.5
Волгоградская область,2016,5.4330966469428,852142.51323655,74609.1044691147,22107.9686877313,50.6,4.9,34.3,103.9
Вологодская область,2016,12.7081925675676,526334.285283234,99367.6760603473,27457.6863079989,51.6,6,31.5,102.3
Воронежская область,2016,4.82997858672377,854559.949786507,119817.985767151,30225.9561628238,46.3,11.6,25.4,104
г. Москва,2016,4.48172199337695,15607937.0934244,143039.661827498,63998.4355251921,36.9,16.1,29.5,98.6
г. Санкт-Петербург,2016,5.06616811813707,4231819.3430686,133331.106177057,41134.9211500142,37.7,14.8,25.1,103.8
г. Севастополь,2016,3.07505827505828,92176.3674352405,45309.0014232849,27083.0099629946,54.6,3.3,34.1,115.5
Еврейская автономная область,2016,7.9890243902439,50125.2955308853,80797.9732422431,23811.0429832052,31.7,6.5,41.5,99.5
Забайкальский край,2016,7.28767377201112,288119.606660974,81831.171648164,22790.2305721605,38.6,4,42.2,104.8
Ивановская область,2016,3.42991202346041,212439.010418446,23415.7233134073,24437.5678906917,47.2,3.2,40.5,106.5
Иркутская область,2016,22.2659609796596,1175850.79897523,106157.26558497,23234.0620552235,47.2,4.8,25.6,109.2
