Регион,Год,ПотрЭлектр/душ,ВРП,ИнвесВОК,СрДушДох,ИзносОФ,УрИнАк,УбыточОрг,ИндПроиз
Томская область,2010,8.75977121067684,284676.7,74300,15070,45.2,18.4,34.1,105.3
Тульская область,2010,6.17948387096774,237629.2,45924,15349,45.8,10.5,35.6,110.9
Тюменская область,2010,26.5926284875184,3301573.3,309459,28757,58.4,9.8,28.8,100.7
Удмуртская Республика,2010,5.60190789473684,274578.1,33589,12984,58.4,11.6,33.9,106.1
Ульяновская область,2010,4.54813953488372,178235.4,37030,13132,45.4,7.6,32.2,114.4
Хабаровский край ,2010,5.34013402829486,353590.3,116220,22479,33.5,11.1,35.7,111
Челябинская область,2010,10.1063291139241,652865.5,43442,16821,44.3,9.9,31.2,111
Чеченская Республика ,2010,1.74996078431373,70694.9,39896,11982,60.4,0.8,53.2,93.7
Чувашская Республика,2010,4.03053557154277,157704.6,34003,11066,51.7,15.7,29.3,111.9
Чукотский автономный округ,2010,10.1509803921569,38978.1,106746,38147,35.2,12.5,46.1,86.2
Ярославская область,2010,5.82509834775767,239644,56674,14491,48.3,10,36.3,106.2
Алтайский край,2011,4.36892397174907,340506.826427898,29882.2043355325,12815.739868049,37.2,11,21.4,104.5
Амурская область,2011,9.53495736906212,231095.164241282,146991.409990575,18239.3609802074,25.1,7.1,27.3,120
Архангельская область,2011,7.56908491343776,450208.534439208,113291.140433553,21996.9359095193,38.4,9.3,37.9,88.8
Астраханская область,2011,4.08551724137931,176976.755400566,69901.1462770971,16436.9553251649,47.5,5.2,41.6,107.5
Белгородская область,2011,9.840234375,520667.421715363,84197.3604147031,19274.8727615457,39.9,12.2,26.5,108.7
Брянская область,2011,3.13575949367089,178612.248859566,38765.0499528746,15735.6780395853,44.6,9.6,31.6,110.6
Владимирская область,2011,4.90174581005587,267820.871140434,42657.9590951932,14673.5095193214,42.4,10.8,28.3,107.4
Волгоградская область,2011,7.27633911368015,521275.913044298,41023.6959472196,14885.7381715363,51.1,7.9,31.4,103
Вологодская область,2011,11.7171118530885,331228.33328935,98229.0576814326,16033.003204524,47.1,9.3,31,105.6
Воронежская область,2011,4.36192109777015,486971.355721018,68219.7212064091,16310.8484448633,44.5,9.2,25.1,110.1
г. Москва,2011,4.56669249978472,10200070.7368897,75844.5737983035,48514.2395852969,35,18.6,29.2,100.7
г. Санкт-Петербург,2011,4.77896224510398,2144754.35960415,74999.7602262017,26727.4818096136,37.6,18.9,23.3,114.6
Еврейская автономная область,2011,6.58914285714286,40463.9044297832,148678.9866164,16942.4081055608,34.3,5,43.3,100.1
Забайкальский край,2011,7.40954545454545,209018.565692743,48025.1909519321,16372.36399623,32.8,4,35.3,111.4
Ивановская область,2011,3.45569259962049,132161.445918944,31398.5626767201,13334.5210179076,39.1,5.1,38.6,105.7
Иркутская область,2011,23.3764438943894,650589.9066164,61502.2229971725,16421.5764373233,30.5,6.5,29.2,111.4
Кабардино-Балкарская Республика,2011,1.72630966239814,92882.8436380773,24879.9647502356,12955.1751178134,34.3,9.9,41,107.9
Калининградская область,2011,4.33041182682154,247092.385900094,68585.7387370405,17306.3751178134,30.3,3.3,47.3,150.1
Калужская область,2011,4.71726190476191,240678.569462771,78623.0262016965,18000.4755890669,36.7,7.9,31.3,125.3
Камчатский край,2011,5.2984375,117264.942525919,108180.223374175,29696.6324222432,29.3,21.8,39,105.6
Карачаево-Черкесская Республика,2011,3.27852631578947,50496.1681244109,29313.1854853911,12038.5934024505,33.5,4.3,33.9,119.7
Кемеровская область,2011,12.3528898582334,770173.06269557,79899.4738925542,17086.9696512724,43.7,6.4,31.1,101.4
Кировская область,2011,5.53614457831325,200201.84929312,30899.2614514609,15045.6786050895,51.1,8.5,30.4,110
Костромская область,2011,5.34350453172205,119575.774213007,27246.2629594722,14942.1274269557,41.5,9.1,43.6,108.2
Краснодарский край,2011,3.94806964420893,1276091.72086711,138798.563807729,19270.7717247879,40,6.1,26.2,107.1
Красноярский край,2011,18.3857998590557,1200401.44857681,111647.649952875,20653.8463713478,38.4,10.2,27.1,107.3
Курганская область,2011,4.80647321428572,139768.561526861,33922.750801131,14715.5451460886,62.8,13.1,37,110.4
Курская область,2011,7.17994652406417,234632.000867107,53398.5743638077,16800.9223374175,49.1,13.7,26.7,104.6
Ленинградская область,2011,11.3167820069204,596405.573609802,181562.124599435,16334.4294062205,33.7,9.1,33.4,110.6
Липецкая область,2011,9.15943396226415,295086.819076343,98696.575871819,17235.6322337418,50.3,10,25.5,111.1
Магаданская область,2011,13.9561290322581,73997.2617907634,125667.044109331,31221.1928369463,51.9,33.6,31.2,108.3
